batting_team,bowling_team,venue,toss_winner,toss_decision,team1_win_pct,team2_win_pct,toss_win_match_win,target
Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,0.49269311064718163,0.4473684210526316,0,0
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,0.5390070921985816,0.5614035087719298,0,1
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,field,0.5614035087719298,0.5390070921985816,0,0
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,0.5027932960893855,0.4759916492693111,1,0
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,field,0.4759916492693111,0.5027932960893855,1,1
Delhi Capitals,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,field,0.4452690166975881,0.4473684210526316,0,1
Kings XI Punjab,Delhi Capitals,Feroz Shah Kotla,Kings XI Punjab,field,0.4473684210526316,0.4452690166975881,0,0
Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,0.5390070921985816,0.4500907441016334,0,1
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,0.4500907441016334,0.5390070921985816,0,0
Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,0.42857142857142855,0.49269311064718163,1,0
Rajasthan Royals,Kochi Tuskers Kerala,Sawai Mansingh Stadium,Rajasthan Royals,field,0.49269311064718163,0.42857142857142855,1,1
Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,field,0.5614035087719298,0.26373626373626374,0,1
Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Pune Warriors,field,0.26373626373626374,0.5614035087719298,0,0
Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,0.4452690166975881,0.4759916492693111,1,0
Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla,Royal Challengers Bangalore,field,0.4759916492693111,0.4452690166975881,1,1
Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,Pune Warriors,bat,0.26373626373626374,0.5614035087719298,0,0
Chennai Super Kings,Pune Warriors,Dr DY Patil Sports Academy,Pune Warriors,bat,0.5614035087719298,0.26373626373626374,0,1
Sunrisers Hyderabad,Kochi Tuskers Kerala,Nehru Stadium,Kochi Tuskers Kerala,field,0.4500907441016334,0.42857142857142855,0,1
Kochi Tuskers Kerala,Sunrisers Hyderabad,Nehru Stadium,Kochi Tuskers Kerala,field,0.42857142857142855,0.4500907441016334,0,0
Kolkata Knight Riders,Delhi Capitals,Feroz Shah Kotla,Delhi Capitals,field,0.5027932960893855,0.4452690166975881,0,1
Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Capitals,field,0.4452690166975881,0.5027932960893855,0,0
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,0.5390070921985816,0.49269311064718163,1,0
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,0.49269311064718163,0.5390070921985816,1,1
Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,field,0.4759916492693111,0.26373626373626374,0,1
Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,Pune Warriors,field,0.26373626373626374,0.4759916492693111,0,0
Delhi Capitals,Kochi Tuskers Kerala,Nehru Stadium,Delhi Capitals,bat,0.4452690166975881,0.42857142857142855,1,1
Kochi Tuskers Kerala,Delhi Capitals,Nehru Stadium,Delhi Capitals,bat,0.42857142857142855,0.4452690166975881,1,0
Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,0.4473684210526316,0.5027932960893855,1,0
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,0.5027932960893855,0.4473684210526316,1,1
Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,0.26373626373626374,0.49269311064718163,1,0
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals,field,0.49269311064718163,0.26373626373626374,1,1
Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.5614035087719298,0.4500907441016334,1,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.4500907441016334,0.5614035087719298,1,0
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,field,0.5390070921985816,0.4473684210526316,0,1
Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,field,0.4473684210526316,0.5390070921985816,0,0
Delhi Capitals,Kochi Tuskers Kerala,Feroz Shah Kotla,Kochi Tuskers Kerala,field,0.4452690166975881,0.42857142857142855,1,0
Kochi Tuskers Kerala,Delhi Capitals,Feroz Shah Kotla,Kochi Tuskers Kerala,field,0.42857142857142855,0.4452690166975881,1,1
Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,0.5027932960893855,0.4500907441016334,0,1
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,0.4500907441016334,0.5027932960893855,0,0
Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,0.49269311064718163,0.5614035087719298,0,0
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,0.5614035087719298,0.49269311064718163,0,1
Mumbai Indians,Pune Warriors,Dr DY Patil Sports Academy,Pune Warriors,field,0.5390070921985816,0.26373626373626374,0,1
Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,Pune Warriors,field,0.26373626373626374,0.5390070921985816,0,0
Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Kolkata Knight Riders,field,0.42857142857142855,0.5027932960893855,0,1
Kolkata Knight Riders,Kochi Tuskers Kerala,Nehru Stadium,Kolkata Knight Riders,field,0.5027932960893855,0.42857142857142855,0,0
Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,field,0.4500907441016334,0.4452690166975881,1,0
Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,field,0.4452690166975881,0.4500907441016334,1,1
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,0.4759916492693111,0.4473684210526316,0,1
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,field,0.4473684210526316,0.4759916492693111,0,0
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,bat,0.5614035087719298,0.5027932960893855,0,0
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,0.5027932960893855,0.5614035087719298,0,1
Mumbai Indians,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,0.5390070921985816,0.4452690166975881,0,1
Delhi Capitals,Mumbai Indians,Wankhede Stadium,Delhi Capitals,field,0.4452690166975881,0.5390070921985816,0,0
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kochi Tuskers Kerala,bat,0.42857142857142855,0.4759916492693111,0,0
Royal Challengers Bangalore,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Kochi Tuskers Kerala,bat,0.4759916492693111,0.42857142857142855,0,1
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,0.4473684210526316,0.26373626373626374,0,0
Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,0.26373626373626374,0.4473684210526316,0,1
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,0.5614035087719298,0.49269311064718163,0,1
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals,field,0.49269311064718163,0.5614035087719298,0,0
Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,0.4500907441016334,0.26373626373626374,0,0
Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,0.26373626373626374,0.4500907441016334,0,1
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,0.4473684210526316,0.5390070921985816,0,1
Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,0.5390070921985816,0.4473684210526316,0,0
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,0.49269311064718163,0.4759916492693111,1,0
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,0.4759916492693111,0.49269311064718163,1,1
Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.5614035087719298,0.4452690166975881,1,1
Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.4452690166975881,0.5614035087719298,1,0
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,field,0.42857142857142855,0.4473684210526316,1,0
Kings XI Punjab,Kochi Tuskers Kerala,Holkar Cricket Stadium,Kings XI Punjab,field,0.4473684210526316,0.42857142857142855,1,1
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.5027932960893855,0.4759916492693111,1,0
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.4759916492693111,0.5027932960893855,1,1
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,bat,0.4500907441016334,0.5390070921985816,1,1
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,0.5390070921985816,0.4500907441016334,1,0
Kings XI Punjab,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,Delhi Capitals,field,0.4473684210526316,0.4452690166975881,0,1
Delhi Capitals,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Delhi Capitals,field,0.4452690166975881,0.4473684210526316,0,0
Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,Kochi Tuskers Kerala,field,0.49269311064718163,0.42857142857142855,1,0
Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,Kochi Tuskers Kerala,field,0.42857142857142855,0.49269311064718163,1,1
Pune Warriors,Sunrisers Hyderabad,Dr DY Patil Sports Academy,Sunrisers Hyderabad,field,0.26373626373626374,0.4500907441016334,1,0
Sunrisers Hyderabad,Pune Warriors,Dr DY Patil Sports Academy,Sunrisers Hyderabad,field,0.4500907441016334,0.26373626373626374,1,1
Kings XI Punjab,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,bat,0.4473684210526316,0.4759916492693111,1,1
Royal Challengers Bangalore,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,bat,0.4759916492693111,0.4473684210526316,1,0
Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.5614035087719298,0.42857142857142855,1,1
Kochi Tuskers Kerala,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.42857142857142855,0.5614035087719298,1,0
Pune Warriors,Kolkata Knight Riders,Dr DY Patil Sports Academy,Kolkata Knight Riders,field,0.26373626373626374,0.5027932960893855,1,0
Kolkata Knight Riders,Pune Warriors,Dr DY Patil Sports Academy,Kolkata Knight Riders,field,0.5027932960893855,0.26373626373626374,1,1
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,bat,0.5390070921985816,0.49269311064718163,0,0
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,0.49269311064718163,0.5390070921985816,0,1
Sunrisers Hyderabad,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,field,0.4500907441016334,0.4473684210526316,0,1
Kings XI Punjab,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,field,0.4473684210526316,0.4500907441016334,0,0
Delhi Capitals,Pune Warriors,Feroz Shah Kotla,Delhi Capitals,bat,0.4452690166975881,0.26373626373626374,0,0
Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.5614035087719298,0.4759916492693111,1,0
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.4759916492693111,0.5614035087719298,1,1
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,field,0.5027932960893855,0.5390070921985816,1,0
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,field,0.5390070921985816,0.5027932960893855,1,1
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,0.4759916492693111,0.5614035087719298,1,0
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Chennai Super Kings,field,0.5614035087719298,0.4759916492693111,1,1
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,0.5027932960893855,0.5390070921985816,1,0
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,0.5390070921985816,0.5027932960893855,1,1
Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,0.4759916492693111,0.5390070921985816,0,1
Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,0.5390070921985816,0.4759916492693111,0,0
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.5614035087719298,0.4759916492693111,1,1
Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0.4759916492693111,0.5614035087719298,1,0
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,0.5614035087719298,0.5390070921985816,1,0
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,0.5390070921985816,0.5614035087719298,1,1
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Delhi Capitals,field,0.5027932960893855,0.4452690166975881,1,0
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Delhi Capitals,field,0.4452690166975881,0.5027932960893855,1,1
Pune Warriors,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,0.26373626373626374,0.5390070921985816,0,1
Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai Indians,field,0.5390070921985816,0.26373626373626374,0,0
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,field,0.49269311064718163,0.4473684210526316,0,1
Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,field,0.4473684210526316,0.49269311064718163,0,0
Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,Delhi Capitals,field,0.4759916492693111,0.4452690166975881,0,1
Delhi Capitals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Capitals,field,0.4452690166975881,0.4759916492693111,0,0
Chennai Super Kings,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,field,0.5614035087719298,0.4500907441016334,0,1
Sunrisers Hyderabad,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,field,0.4500907441016334,0.5614035087719298,0,0
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,0.49269311064718163,0.5027932960893855,0,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Kolkata Knight Riders,field,0.5027932960893855,0.49269311064718163,0,0
Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium,Pune Warriors,bat,0.26373626373626374,0.4473684210526316,1,1
Kings XI Punjab,Pune Warriors,Subrata Roy Sahara Stadium,Pune Warriors,bat,0.4473684210526316,0.26373626373626374,1,0
Sunrisers Hyderabad,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,bat,0.4500907441016334,0.5390070921985816,0,0
Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,bat,0.5390070921985816,0.4500907441016334,0,1
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.5027932960893855,0.4759916492693111,0,1
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.4759916492693111,0.5027932960893855,0,0
Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,Delhi Capitals,field,0.5614035087719298,0.4452690166975881,1,0
Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,Delhi Capitals,field,0.4452690166975881,0.5614035087719298,1,1
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,0.5390070921985816,0.49269311064718163,0,1
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Rajasthan Royals,field,0.49269311064718163,0.5390070921985816,0,0
Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,0.4759916492693111,0.5614035087719298,0,0
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,0.5614035087719298,0.4759916492693111,0,1
Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,0.26373626373626374,0.4473684210526316,1,0
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,0.4473684210526316,0.26373626373626374,1,1
Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Rajasthan Royals,bat,0.49269311064718163,0.5027932960893855,0,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,0.5027932960893855,0.49269311064718163,0,1
Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Chennai Super Kings,bat,0.5614035087719298,0.26373626373626374,0,0
Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,bat,0.26373626373626374,0.5614035087719298,0,1
Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,0.4473684210526316,0.5027932960893855,0,1
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,0.5027932960893855,0.4473684210526316,0,0
Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,bat,0.49269311064718163,0.4759916492693111,1,1
